showRange,movieNm,movieCd,rank,movieId
20181217~20181223,스윙키즈,20175547,3,171
20181217~20181223,보헤미안 랩소디,20185485,4,164
20181217~20181223,그린치,20182421,5,174
20181217~20181223,국가부도의 날,20177552,6,178
20181217~20181223,스파이더맨: 뉴 유니버스,20183238,7,177
20181217~20181223,도어락,20179230,8,179
20181217~20181223,극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,20183479,9,176
20181217~20181223,극장판 포켓몬스터 모두의 이야기,20183375,10,180
20181210~20181216,보헤미안 랩소디,20185485,1,164
20181210~20181216,국가부도의 날,20177552,2,178
20181210~20181216,도어락,20179230,3,179
20181210~20181216,스파이더맨: 뉴 유니버스,20183238,4,177
20181210~20181216,호두까기 인형과 4개의 왕국,20189843,5,181
20181210~20181216,부탁 하나만 들어줘,20182082,6,182
20181210~20181216,스윙키즈,20175547,7,171
20181210~20181216,모털 엔진,20178825,8,183
20181210~20181216,런닝맨 : 풀룰루의 역습,20183745,9,184
20181210~20181216,완벽한 타인,20177538,10,185
20181203~20181209,국가부도의 날,20177552,1,178
20181203~20181209,보헤미안 랩소디,20185485,2,164
20181203~20181209,도어락,20179230,3,179
20181203~20181209,호두까기 인형과 4개의 왕국,20189843,4,181
20181203~20181209,모털 엔진,20178825,5,183
20181203~20181209,런닝맨 : 풀룰루의 역습,20183745,6,184
20181203~20181209,성난황소,20184481,7,186
20181203~20181209,완벽한 타인,20177538,8,185
20181203~20181209,후드,20181905,9,187
20181203~20181209,신비한 동물들과 그린델왈드의 범죄,20176814,10,188
20181126~20181202,국가부도의 날,20177552,1,178
20181126~20181202,보헤미안 랩소디,20185485,2,164
20181126~20181202,성난황소,20184481,3,186
20181126~20181202,완벽한 타인,20177538,4,185
20181126~20181202,후드,20181905,5,187
20181126~20181202,신비한 동물들과 그린델왈드의 범죄,20176814,6,188
20181126~20181202,베일리 어게인,20183073,7,189
20181126~20181202,바울,20181171,8,190
20181126~20181202,거미줄에 걸린 소녀,20183007,9,191
20181126~20181202,투 프렌즈,20182966,10,192
20181119~20181125,보헤미안 랩소디,20185485,1,164
20181119~20181125,성난황소,20184481,2,186
20181119~20181125,신비한 동물들과 그린델왈드의 범죄,20176814,3,188
20181119~20181125,완벽한 타인,20177538,4,185
20181119~20181125,번 더 스테이지: 더 무비,20183050,5,193
20181119~20181125,베일리 어게인,20183073,6,189
20181119~20181125,바울,20181171,7,190
20181119~20181125,출국,20182935,8,194
20181119~20181125,툴리,20182669,9,195
20181119~20181125,너의 췌장을 먹고 싶어,20186822,10,196
20181112~20181118,신비한 동물들과 그린델왈드의 범죄,20176814,1,188
20181112~20181118,보헤미안 랩소디,20185485,2,164
20181112~20181118,완벽한 타인,20177538,3,185
20181112~20181118,번 더 스테이지: 더 무비,20183050,4,193
20181112~20181118,동네사람들,20170513,5,197
20181112~20181118,성난황소,20184481,6,186
20181112~20181118,바울,20181171,7,190
20181112~20181118,출국,20182935,8,194
20181112~20181118,너의 췌장을 먹고 싶어,20186822,9,196
20181112~20181118,해피 투게더,20189869,10,198
20181105~20181111,완벽한 타인,20177538,1,185
20181105~20181111,보헤미안 랩소디,20185485,2,164
20181105~20181111,동네사람들,20170513,3,197
20181105~20181111,바울,20181171,4,190
20181105~20181111,창궐,20174981,5,199
20181105~20181111,해리포터와 마법사의 돌,20010291,6,200
20181105~20181111,여곡성,20179006,7,201
20181105~20181111,벽 속에 숨은 마법시계,20181404,8,202
20181105~20181111,스타 이즈 본,20180523,9,203
20181105~20181111,구스범스: 몬스터의 역습,20182693,10,204
20181029~20181104,완벽한 타인,20177538,1,185
20181029~20181104,보헤미안 랩소디,20185485,2,164
20181029~20181104,창궐,20174981,3,199
20181029~20181104,벽 속에 숨은 마법시계,20181404,4,202
20181029~20181104,해리포터와 마법사의 돌,20010291,5,200
