showRange,movieNm,rank,movieCd,openDt,audiAcc
20190422~20190428,생일,3,20183096,2019-04-03,1168386
20190422~20190428,요로나의 저주,4,20183454,2019-04-17,197125
20190422~20190428,미성년,5,20180825,2019-04-11,279305
20190422~20190428,크게 될 놈,6,20198982,2019-04-18,90320
20190422~20190428,캡틴 마블,7,20181877,2019-03-06,5783218
20190422~20190428,노팅 힐,8,19990220,1999-07-03,49958
20190422~20190428,돈,9,20176103,2019-03-20,3388756
20190422~20190428,바이스,10,20198104,2019-04-11,131698
20190415~20190421,생일,1,20183096,2019-04-03,1066140
20190415~20190421,요로나의 저주,2,20183454,2019-04-17,161060
20190415~20190421,미성년,3,20180825,2019-04-11,248101
20190415~20190421,헬보이,4,20185406,2019-04-10,311910
20190415~20190421,돈,5,20176103,2019-03-20,3378078
20190415~20190421,크게 될 놈,6,20198982,2019-04-18,62272
20190415~20190421,캡틴 마블,7,20181877,2019-03-06,5755436
20190415~20190421,왓칭,8,20182501,2019-04-17,46139
20190415~20190421,바이스,9,20198104,2019-04-11,121583
20190415~20190421,아이 엠 마더,10,20198844,2019-04-11,83953
20190408~20190414,생일,1,20183096,2019-04-03,761774
20190408~20190414,헬보이,2,20185406,2019-04-10,220243
20190408~20190414,돈,3,20176103,2019-03-20,3302781
20190408~20190414,미성년,4,20180825,2019-04-11,141588
20190408~20190414,샤잠!,5,20196244,2019-04-03,636971
20190408~20190414,어스,6,20185352,2019-03-27,1450902
20190408~20190414,공포의 묘지,7,20197423,2019-04-10,87134
20190408~20190414,장난스런 키스,8,20183773,2019-03-27,390548
20190408~20190414,바이스,9,20198104,2019-04-11,77388
20190408~20190414,파이브 피트,10,20198403,2019-04-10,67395
20190401~20190407,샤잠!,1,20196244,2019-04-03,500650
20190401~20190407,돈,2,20176103,2019-03-20,3117350
20190401~20190407,어스,3,20185352,2019-03-27,1344562
20190401~20190407,생일,4,20183096,2019-04-03,375445
20190401~20190407,장난스런 키스,5,20183773,2019-03-27,318784
20190401~20190407,캡틴 마블,6,20181877,2019-03-06,5649943
20190401~20190407,덤보,7,20196025,2019-03-27,296253
20190401~20190407,로망,8,20197092,2019-04-03,46938
20190401~20190407,콜레트,9,20198146,2019-03-27,35223
20190401~20190407,바이스,10,20198104,2019-04-11,9652
20190325~20190331,돈,1,20176103,2019-03-20,2669637
20190325~20190331,어스,2,20185352,2019-03-27,936427
20190325~20190331,캡틴 마블,3,20181877,2019-03-06,5540952
20190325~20190331,덤보,4,20196025,2019-03-27,212836
20190325~20190331,장난스런 키스,5,20183773,2019-03-27,172939
20190325~20190331,악질경찰,6,20197846,2019-03-20,254449
20190325~20190331,우상,7,20175407,2019-03-20,175481
20190325~20190331,썬키스 패밀리,8,20166301,2019-03-27,26086
20190325~20190331,1919 유관순,9,20197483,2019-03-14,46858
20190325~20190331,콜레트,10,20198146,2019-03-27,22341
20190318~20190324,돈,1,20176103,2019-03-20,1536397
20190318~20190324,캡틴 마블,2,20181877,2019-03-06,5232805
